----------------------------------------------------------------------
Data values
----------------------------------------------------------------------
Data by Sector
Sector: #1 35% exposure, 58 km/hr windspeed
Sector: #1 6% exposure, 26 km/hr windspeed
Sector: #1 9% exposure, 18 km/hr windspeed
Sector: #1 62% exposure, 34 km/hr windspeed
Sector: #1 90% exposure, 49 km/hr windspeed
Sector: #1 3% exposure, 18 km/hr windspeed
Sector: #1 38% exposure, 8 km/hr windspeed
Sector: #1 40% exposure, 16 km/hr windspeed
Sector: #1 36% exposure, 54 km/hr windspeed
Sector: #1 51% exposure, 28 km/hr windspeed
Sector: #1 97% exposure, 20 km/hr windspeed
Sector: #1 16% exposure, 21 km/hr windspeed
Sector: #1 56% exposure, 21 km/hr windspeed
Sector: #1 11% exposure, 30 km/hr windspeed
Sector: #1 18% exposure, 18 km/hr windspeed
Sector: #1 21% exposure, 59 km/hr windspeed
Sector: #1 76% exposure, 16 km/hr windspeed
Sector: #1 71% exposure, 23 km/hr windspeed
Sector: #1 2% exposure, 18 km/hr windspeed
Sector: #1 39% exposure, 58 km/hr windspeed
Sector: #1 76% exposure, 30 km/hr windspeed
Sector: #1 48% exposure, 24 km/hr windspeed
Sector: #2 91% exposure, 49 km/hr windspeed
Sector: #2 11% exposure, 50 km/hr windspeed
Sector: #2 34% exposure, 33 km/hr windspeed
Sector: #2 55% exposure, 55 km/hr windspeed
Sector: #2 55% exposure, 52 km/hr windspeed
Sector: #2 3% exposure, 39 km/hr windspeed
Sector: #2 63% exposure, 49 km/hr windspeed
Sector: #2 22% exposure, 23 km/hr windspeed
Sector: #2 49% exposure, 47 km/hr windspeed
Sector: #2 10% exposure, 27 km/hr windspeed
Sector: #2 23% exposure, 23 km/hr windspeed
Sector: #2 78% exposure, 22 km/hr windspeed
Sector: #2 20% exposure, 22 km/hr windspeed
Sector: #2 62% exposure, 41 km/hr windspeed
Sector: #2 67% exposure, 31 km/hr windspeed
Sector: #2 66% exposure, 21 km/hr windspeed
Sector: #2 28% exposure, 48 km/hr windspeed
Sector: #2 70% exposure, 64 km/hr windspeed
Sector: #2 74% exposure, 38 km/hr windspeed
Sector: #2 15% exposure, 20 km/hr windspeed
Sector: #2 47% exposure, 27 km/hr windspeed
Sector: #2 75% exposure, 31 km/hr windspeed
Sector: #2 27% exposure, 29 km/hr windspeed
Sector: #2 64% exposure, 25 km/hr windspeed
Sector: #2 50% exposure, 37 km/hr windspeed
Sector: #2 57% exposure, 21 km/hr windspeed
Sector: #2 41% exposure, 45 km/hr windspeed
Sector: #3 70% exposure, 30 km/hr windspeed
Sector: #3 10% exposure, 14 km/hr windspeed
Sector: #3 49% exposure, 12 km/hr windspeed
Sector: #3 18% exposure, 8 km/hr windspeed
Sector: #3 99% exposure, 31 km/hr windspeed
Sector: #3 54% exposure, 16 km/hr windspeed
Sector: #3 17% exposure, 19 km/hr windspeed
Sector: #3 47% exposure, 3 km/hr windspeed
Sector: #3 77% exposure, 34 km/hr windspeed
Sector: #3 60% exposure, 20 km/hr windspeed
Sector: #3 33% exposure, 34 km/hr windspeed
Sector: #3 37% exposure, 2 km/hr windspeed
Sector: #3 87% exposure, 49 km/hr windspeed
Sector: #3 79% exposure, 5 km/hr windspeed
Sector: #3 16% exposure, 23 km/hr windspeed
Sector: #3 28% exposure, 4 km/hr windspeed
Sector: #3 45% exposure, 10 km/hr windspeed
Sector: #3 8% exposure, 12 km/hr windspeed
Sector: #3 67% exposure, 23 km/hr windspeed
Sector: #3 80% exposure, 16 km/hr windspeed
Sector: #3 67% exposure, 19 km/hr windspeed
Sector: #3 9% exposure, 38 km/hr windspeed
Sector: #3 4% exposure, 25 km/hr windspeed
Sector: #4 64% exposure, 37 km/hr windspeed
Sector: #4 85% exposure, 51 km/hr windspeed
Sector: #4 40% exposure, 51 km/hr windspeed
Sector: #4 46% exposure, 27 km/hr windspeed
Sector: #4 61% exposure, 44 km/hr windspeed
Sector: #4 66% exposure, 2 km/hr windspeed
Sector: #4 70% exposure, 14 km/hr windspeed
Sector: #4 29% exposure, 67 km/hr windspeed
Sector: #4 12% exposure, 7 km/hr windspeed
Sector: #4 73% exposure, 1 km/hr windspeed
Sector: #4 80% exposure, 28 km/hr windspeed
Sector: #4 53% exposure, 33 km/hr windspeed
Sector: #4 33% exposure, 10 km/hr windspeed
Sector: #4 30% exposure, 51 km/hr windspeed
Sector: #4 77% exposure, 35 km/hr windspeed
Sector: #4 86% exposure, 23 km/hr windspeed
Sector: #4 24% exposure, 22 km/hr windspeed
Sector: #4 80% exposure, 32 km/hr windspeed
Sector: #4 76% exposure, 10 km/hr windspeed
Sector: #4 1% exposure, 32 km/hr windspeed
Sector: #4 100% exposure, 15 km/hr windspeed
Sector: #4 30% exposure, 1 km/hr windspeed
Sector: #5 12% exposure, 8 km/hr windspeed
Sector: #5 41% exposure, 23 km/hr windspeed
Sector: #5 77% exposure, 14 km/hr windspeed
Sector: #5 71% exposure, 40 km/hr windspeed
Sector: #5 80% exposure, 20 km/hr windspeed
Sector: #5 81% exposure, 23 km/hr windspeed
Sector: #5 17% exposure, 25 km/hr windspeed
Sector: #5 79% exposure, 7 km/hr windspeed
Sector: #5 86% exposure, 12 km/hr windspeed
Sector: #5 2% exposure, 46 km/hr windspeed
Sector: #5 66% exposure, 20 km/hr windspeed
Sector: #5 33% exposure, 60 km/hr windspeed
Sector: #5 83% exposure, 42 km/hr windspeed
Sector: #5 55% exposure, 29 km/hr windspeed
Sector: #5 4% exposure, 29 km/hr windspeed
Sector: #5 77% exposure, 30 km/hr windspeed
Sector: #5 59% exposure, 44 km/hr windspeed
Sector: #5 16% exposure, 21 km/hr windspeed
Sector: #5 46% exposure, 45 km/hr windspeed
Sector: #6 54% exposure, 44 km/hr windspeed
Sector: #6 30% exposure, 49 km/hr windspeed
Sector: #6 60% exposure, 46 km/hr windspeed
Sector: #6 3% exposure, 20 km/hr windspeed
Sector: #6 36% exposure, 17 km/hr windspeed
Sector: #6 89% exposure, 19 km/hr windspeed
Sector: #6 24% exposure, 17 km/hr windspeed
Sector: #6 60% exposure, 17 km/hr windspeed
Sector: #6 61% exposure, 5 km/hr windspeed
Sector: #6 73% exposure, 8 km/hr windspeed
Sector: #6 51% exposure, 63 km/hr windspeed
Sector: #6 92% exposure, 25 km/hr windspeed
Sector: #6 75% exposure, 2 km/hr windspeed
Sector: #6 91% exposure, 30 km/hr windspeed
Sector: #6 79% exposure, 2 km/hr windspeed
Sector: #6 83% exposure, 22 km/hr windspeed
Sector: #6 93% exposure, 36 km/hr windspeed
Sector: #6 67% exposure, 24 km/hr windspeed
Sector: #6 57% exposure, 18 km/hr windspeed
Sector: #6 19% exposure, 5 km/hr windspeed
Sector: #6 59% exposure, 14 km/hr windspeed
Sector: #6 20% exposure, 46 km/hr windspeed
Sector: #7 45% exposure, 8 km/hr windspeed
Sector: #7 67% exposure, 9 km/hr windspeed
Sector: #7 32% exposure, 34 km/hr windspeed
Sector: #7 1% exposure, 33 km/hr windspeed
Sector: #7 41% exposure, 22 km/hr windspeed
Sector: #7 56% exposure, 55 km/hr windspeed
Sector: #7 53% exposure, 46 km/hr windspeed
Sector: #7 73% exposure, 23 km/hr windspeed
Sector: #7 62% exposure, 24 km/hr windspeed
Sector: #7 10% exposure, 16 km/hr windspeed
Sector: #7 72% exposure, 63 km/hr windspeed
Sector: #7 40% exposure, 20 km/hr windspeed
Sector: #7 97% exposure, 24 km/hr windspeed
Sector: #7 40% exposure, 49 km/hr windspeed
Sector: #7 6% exposure, 13 km/hr windspeed
Sector: #7 20% exposure, 1 km/hr windspeed
Sector: #7 16% exposure, 5 km/hr windspeed
