----------------------------------------------------------------------
Data values
----------------------------------------------------------------------
Data by Sector
Sector: #1 39% exposure, 58 km/hr windspeed
Sector: #1 76% exposure, 30 km/hr windspeed
Sector: #1 48% exposure, 24 km/hr windspeed
Sector: #2 57% exposure, 21 km/hr windspeed
Sector: #2 41% exposure, 45 km/hr windspeed
Sector: #3 67% exposure, 19 km/hr windspeed
Sector: #3 9% exposure, 38 km/hr windspeed
Sector: #3 4% exposure, 25 km/hr windspeed
Sector: #4 76% exposure, 10 km/hr windspeed
Sector: #4 1% exposure, 32 km/hr windspeed
Sector: #4 100% exposure, 15 km/hr windspeed
Sector: #4 30% exposure, 1 km/hr windspeed
Sector: #5 16% exposure, 21 km/hr windspeed
Sector: #5 46% exposure, 45 km/hr windspeed
Sector: #6 93% exposure, 36 km/hr windspeed
Sector: #6 67% exposure, 24 km/hr windspeed
Sector: #6 57% exposure, 18 km/hr windspeed
Sector: #6 19% exposure, 5 km/hr windspeed
Sector: #6 59% exposure, 14 km/hr windspeed
Sector: #6 20% exposure, 46 km/hr windspeed
Sector: #7 63% exposure, 39 km/hr windspeed
Sector: #7 45% exposure, 6 km/hr windspeed
Sector: #7 80% exposure, 31 km/hr windspeed
Sector: #8 89% exposure, 10 km/hr windspeed
Sector: #8 95% exposure, 10 km/hr windspeed
Sector: #9 30% exposure, 6 km/hr windspeed
Sector: #9 58% exposure, 4 km/hr windspeed
Sector: #9 87% exposure, 34 km/hr windspeed
Sector: #10 7% exposure, 25 km/hr windspeed
Sector: #10 26% exposure, 7 km/hr windspeed
Sector: #11 99% exposure, 36 km/hr windspeed
Sector: #11 91% exposure, 33 km/hr windspeed
Sector: #11 89% exposure, 19 km/hr windspeed
Sector: #11 25% exposure, 30 km/hr windspeed
Sector: #11 48% exposure, 5 km/hr windspeed
Sector: #11 6% exposure, 14 km/hr windspeed
Sector: #12 40% exposure, 12 km/hr windspeed
Sector: #13 52% exposure, 36 km/hr windspeed
Sector: #13 87% exposure, 19 km/hr windspeed
Sector: #13 59% exposure, 33 km/hr windspeed
Sector: #14 45% exposure, 48 km/hr windspeed
Sector: #14 21% exposure, 5 km/hr windspeed
Sector: #14 98% exposure, 28 km/hr windspeed
Sector: #15 38% exposure, 25 km/hr windspeed
Sector: #17 74% exposure, 35 km/hr windspeed
Sector: #17 92% exposure, 23 km/hr windspeed
Sector: #18 64% exposure, 14 km/hr windspeed
Sector: #18 31% exposure, 70 km/hr windspeed
Sector: #19 18% exposure, 23 km/hr windspeed
Sector: #19 26% exposure, 56 km/hr windspeed
Sector: #19 71% exposure, 7 km/hr windspeed
Sector: #20 10% exposure, 10 km/hr windspeed
Sector: #21 45% exposure, 18 km/hr windspeed
Sector: #22 7% exposure, 13 km/hr windspeed
Sector: #22 91% exposure, 40 km/hr windspeed
Sector: #22 4% exposure, 11 km/hr windspeed
Sector: #23 12% exposure, 29 km/hr windspeed
Sector: #24 2% exposure, 22 km/hr windspeed
Sector: #24 52% exposure, 31 km/hr windspeed
